Canonical Institution,Alias,Source,Notes
Arizona State University Campus Immersion,Arizona State University,manual,Carnegie uses campus-specific naming
University at Buffalo,State University of New York at Buffalo,manual,Common institutional naming variant
University of Wisconsin-Madison,University of Wisconsin Madison,manual,Punctuation normalization aid
William & Mary,College of William and Mary,manual,Common formal name variant
The University of Tennessee-Knoxville,University of Tennessee Knoxville,manual,Punctuation normalization aid
