ARL Name,Library URL,Source URL
The University of New Mexico Libraries,https://library.unm.edu/,https://www.arl.org/list-of-arl-members/
New York Public Library,http://www.nypl.org/,https://www.arl.org/list-of-arl-members/
NYU Libraries,http://library.nyu.edu/,https://www.arl.org/list-of-arl-members/
UNC University Libraries,https://library.unc.edu/,https://www.arl.org/list-of-arl-members/
NC State University Libraries,http://www.lib.ncsu.edu/,https://www.arl.org/list-of-arl-members/
University of North Texas University Libraries,https://library.unt.edu/,https://www.arl.org/list-of-arl-members/
Northwestern Libraries,http://www.library.northwestern.edu/,https://www.arl.org/list-of-arl-members/
University of Notre Dame Hesburgh Libraries,http://www.library.nd.edu/,https://www.arl.org/list-of-arl-members/
The Ohio State University Libraries,http://library.osu.edu/,https://www.arl.org/list-of-arl-members/
Ohio University Libraries,https://www.ohio.edu/library/,https://www.arl.org/list-of-arl-members/
The University of Oklahoma Libraries,http://libraries.ou.edu/,https://www.arl.org/list-of-arl-members/
Oklahoma State University Libraries,http://www.library.okstate.edu/,https://www.arl.org/list-of-arl-members/
University of Ottawa Library,https://www.uottawa.ca/library/,https://www.arl.org/list-of-arl-members/
Penn Libraries,http://www.library.upenn.edu/,https://www.arl.org/list-of-arl-members/
Penn State University Libraries,http://www.libraries.psu.edu/,https://www.arl.org/list-of-arl-members/
University of Pittsburgh University Library System,http://www.library.pitt.edu/,https://www.arl.org/list-of-arl-members/
Princeton University Library,https://library.princeton.edu/,https://www.arl.org/list-of-arl-members/
Purdue University Libraries and School of Information Studies,http://www.lib.purdue.edu/,https://www.arl.org/list-of-arl-members/
Queen’s University Library,http://library.queensu.ca/,https://www.arl.org/list-of-arl-members/
Rice University Library,http://www.rice.edu/fondren/,https://www.arl.org/list-of-arl-members/
University of Rochester River Campus Libraries,http://www.lib.rochester.edu/,https://www.arl.org/list-of-arl-members/
Rutgers University Libraries,http://www.libraries.rutgers.edu/,https://www.arl.org/list-of-arl-members/
University of Saskatchewan University Library,http://library.usask.ca/,https://www.arl.org/list-of-arl-members/
Simon Fraser University Library,https://www.lib.sfu.ca/,https://www.arl.org/list-of-arl-members/
Smithsonian Libraries and Archives,http://www.sil.si.edu/,https://www.arl.org/list-of-arl-members/
University of South Carolina Libraries,http://www.sc.edu/library/,https://www.arl.org/list-of-arl-members/
USC Libraries,https://libraries.usc.edu/,https://www.arl.org/list-of-arl-members/
Southern Illinois University Carbondale Morris Library,http://www.lib.siu.edu/,https://www.arl.org/list-of-arl-members/
"Stony Brook University, SUNY, Libraries",https://library.stonybrook.edu/,https://www.arl.org/list-of-arl-members/
Syracuse University Libraries,http://library.syr.edu/,https://www.arl.org/list-of-arl-members/
Temple University Libraries,https://library.temple.edu/,https://www.arl.org/list-of-arl-members/
"The University of Tennessee, Knoxville, Libraries",http://www.lib.utk.edu/,https://www.arl.org/list-of-arl-members/
University of Texas Libraries,http://www.lib.utexas.edu/,https://www.arl.org/list-of-arl-members/
Texas A&M University Libraries,http://library.tamu.edu/,https://www.arl.org/list-of-arl-members/
Texas State University Libraries,https://www.library.txstate.edu/,https://www.arl.org/list-of-arl-members/
Texas Tech University Libraries,http://library.ttu.edu/,https://www.arl.org/list-of-arl-members/
University of Toronto Libraries,http://www.library.utoronto.ca/,https://www.arl.org/list-of-arl-members/
Tulane University Libraries,http://library.tulane.edu/,https://www.arl.org/list-of-arl-members/
The University of Utah J. Willard Marriott Library,http://www.lib.utah.edu/,https://www.arl.org/list-of-arl-members/
Vanderbilt University Jean & Alexander Heard Libraries,http://www.library.vanderbilt.edu/,https://www.arl.org/list-of-arl-members/
University of Virginia Library,http://www.lib.virginia.edu/,https://www.arl.org/list-of-arl-members/
VCU Libraries,https://www.library.vcu.edu/,https://www.arl.org/list-of-arl-members/
Virginia Tech University Libraries,http://www.lib.vt.edu/,https://www.arl.org/list-of-arl-members/
University of Washington Libraries,http://www.lib.washington.edu/,https://www.arl.org/list-of-arl-members/
Washington State University Libraries,http://libraries.wsu.edu/,https://www.arl.org/list-of-arl-members/
Washington University in St. Louis University Libraries,http://library.wustl.edu/,https://www.arl.org/list-of-arl-members/
University of Waterloo Library,http://www.lib.uwaterloo.ca/,https://www.arl.org/list-of-arl-members/
Wayne State University Library System,http://www.lib.wayne.edu/,https://www.arl.org/list-of-arl-members/
Western Libraries,http://www.lib.uwo.ca/,https://www.arl.org/list-of-arl-members/
University of Wisconsin–Madison Libraries,http://www.library.wisc.edu/,https://www.arl.org/list-of-arl-members/
Yale University Library,http://www.library.yale.edu/,https://www.arl.org/list-of-arl-members/
York University Libraries,http://www.library.yorku.ca/,https://www.arl.org/list-of-arl-members/
