Institution,herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
University of Cincinnati-Main Campus,U. Cincinnati,52,94.54,717004
University of Colorado Boulder,U. Colorado Boulder,53,94.43,703326
University of Colorado Denver/Anschutz Medical Campus,U. Colorado Anschutz Medical Campus,51,94.64,717920
University of Connecticut,U. Connecticut,84,91.11,419123
University of Dayton,U. Dayton,129,86.29,246240
University of Delaware,U. Delaware,79,91.64,460733
University of Denver,U. Denver,231,75.36,54204
University of Florida,U. Florida,28,97.11,1257859
University of Georgia,U. Georgia,61,93.57,559013
University of Hawaii at Manoa,"U. Hawaii, Manoa",94,90.04,371904
University of Houston,U. Houston,134,85.75,230626
University of Idaho,U. Idaho,165,82.43,139295
University of Illinois Chicago,"U. Illinois, Chicago",68,92.82,524295
University of Illinois Urbana-Champaign,"U. Illinois, Urbana-Champaign",42,95.61,881226
University of Iowa,U. Iowa,55,94.21,657468
University of Kansas,U. Kansas,65,93.14,541880
University of Kentucky,U. Kentucky,69,92.71,521892
University of Louisiana at Lafayette,"U. Louisiana, Lafayette",127,86.5,252537
University of Louisville,U. Louisville,139,85.21,218426
University of Maine,U. Maine,143,84.79,197428
"University of Maryland, Baltimore","U. Maryland, Baltimore",0,0.0,0
University of Maryland-Baltimore County,"U. Maryland, Baltimore County",162,82.75,142872
University of Maryland-College Park,U. Maryland ,15,98.5,1528637
University of Massachusetts-Amherst,"U. Massachusetts, Amherst",116,87.68,278304
University of Massachusetts-Boston,"U. Massachusetts, Boston",205,78.14,73200
University of Massachusetts-Lowell,"U. Massachusetts, Lowell",173,81.57,110499
University of Memphis,U. Memphis,177,81.14,106919
University of Miami,U. Miami,63,93.36,546110
University of Michigan-Ann Arbor,"U. Michigan, Ann Arbor",5,99.57,1933229
University of Minnesota-Twin Cities,"U. Minnesota, Twin Cities",23,97.64,1363321
University of Mississippi,U. Mississippi,147,84.36,181600
University of Missouri-Columbia,"U. Missouri, Columbia",72,92.39,501468
University of Missouri-Kansas City,"U. Missouri, Kansas City",230,75.46,55506
University of Nebraska Medical Center,"U. Nebraska, Lincoln and Medical Center",57,94.0,644948
University of Nebraska-Lincoln,"U. Nebraska, Lincoln and Medical Center",57,94.0,644948
University of Nevada-Las Vegas,"U. Nevada, Las Vegas",174,81.46,109905
University of Nevada-Reno,"U. Nevada, Reno",146,84.46,181795
University of New Hampshire-Main Campus,U. New Hampshire,,,
University of New Mexico-Main Campus,U. New Mexico,99,89.5,346900
University of North Carolina at Chapel Hill,"U. North Carolina, The, Chapel Hill",12,98.82,1581570
University of North Carolina at Charlotte,"U. North Carolina, Charlotte",183,80.5,93749
University of North Dakota,U. North Dakota,145,84.57,189910
University of North Texas,"U. North Texas, Denton",172,81.68,118049
University of Notre Dame,U. Notre Dame,102,89.18,342132
University of Oklahoma-Norman Campus,U. Oklahoma,76,91.96,466386
University of Oregon,U. Oregon,150,84.04,171528
University of Pennsylvania,Commonwealth U. of Pennsylvania,871,6.79,301
University of Pittsburgh-Pittsburgh Campus,"U. Pittsburgh, Pittsburgh",19,98.07,1494527
University of Rhode Island,U. Rhode Island,168,82.11,126502
University of Rochester,U. Rochester,75,92.07,471605
University of South Carolina-Columbia,"U. South Carolina, Columbia",120,87.25,271198
University of South Florida,U. South Florida,71,92.5,505262
University of Southern California,U. Southern California,29,97.0,1246507
University of Southern Mississippi,U. Southern Mississippi,186,80.18,88989
University of Texas Southwestern Medical Center,U. Texas Southwestern Medical Center,45,95.29,836800
University of Toledo,U. Toledo,207,77.93,71684
University of Utah,U. Utah,49,94.86,741643
University of Vermont,U. Vermont,131,86.07,241072
University of Virginia-Main Campus,U. Virginia,,,
University of Washington-Seattle Campus,"U. Washington, Seattle",9,99.14,1641961
University of Wisconsin-Madison,U. Wisconsin-Madison,6,99.46,1896227
University of Wisconsin-Milwaukee,U. Wisconsin-Milwaukee,217,76.86,62553
University of Wyoming,U. Wyoming,154,83.61,165047
Utah State University,Utah State U.,82,91.32,433545
Vanderbilt University,Vanderbilt U. and Vanderbilt U. Medical Center,26,97.32,1272493
Virginia Commonwealth University,Virginia Commonwealth U.,70,92.61,508580
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State U.,58,93.89,642546
Washington State University,Washington State U.,88,90.68,392333
Washington University in St Louis,Washington U. in St. Louis,,,
Wayne State University,Wayne State U.,114,87.89,281730
Weill Medical College of Cornell University,Cornell U.,11,98.93,1598751
West Virginia University,West Virginia U.,124,86.82,256919
William & Mary,William & Mary,184,80.39,93692
Worcester Polytechnic Institute,Worcester Polytechnic Institute,210,77.61,70084
Yale University,Yale U.,18,98.18,1500732
