herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
"SUNY, Binghamton U.",157,83.29,157574
"Brigham Young U., Provo",158,83.18,154494
"U. Texas, El Paso",159,83.07,153780
"U. Alabama, Huntsville",160,82.96,150908
"U. Texas, Arlington",161,82.86,143810
"U. Maryland, Baltimore County",162,82.75,142872
"U. Montana, Missoula",163,82.64,140413
New Mexico State U.,164,82.54,140247
U. Idaho,165,82.43,139295
Rensselaer Polytechnic Institute,166,82.32,137462
Rush U.,167,82.21,134876
U. Rhode Island,168,82.11,126502
Baylor U.,169,82.0,124771
Cold Spring Harbor Laboratory,170,81.89,124219
"U. Tennessee, Health Science Center",171,81.79,120672
"U. North Texas, Denton",172,81.68,118049
"U. Massachusetts, Lowell",173,81.57,110499
"U. Nevada, Las Vegas",174,81.46,109905
"U. North Texas, Health Science Center",175,81.36,108862
Colorado School of Mines,176,81.25,107059
U. Memphis,177,81.14,106919
Brandeis U.,178,81.04,101815
Michigan Technological U.,179,80.93,96310
Howard U.,180,80.82,95832
Boston C.,181,80.71,94895
Saint Louis U.,182,80.61,94609
"U. North Carolina, Charlotte",183,80.5,93749
William & Mary,184,80.39,93692
Northern Arizona U.,185,80.29,90610
U. Southern Mississippi,186,80.18,88989
U. Texas Rio Grande Valley,187,80.07,88125
"Indiana U.-Purdue U., Indianapolis",188,79.96,87906
San Jose State U.,189,79.86,85839
Florida Atlantic U.,190,79.75,83309
Cleveland State U.,191,79.64,82246
Van Andel Research Institute,192,79.54,81845
South Dakota State U.,193,79.43,80831
North Carolina A&T State U.,194,79.32,79857
"CUNY, Graduate Center",195,79.21,79680
New Mexico Institute of Mining and Technology,196,79.11,79293
"Louisiana State U., Health Sciences Center, New Orleans",197,79.0,78488
"U. California, Office of the President",198,78.89,78356
Rochester Institute of Technology,199,78.79,77370
American U.,200,78.68,77233
"U. North Carolina, Greensboro",201,78.57,76867
"U. California, Merced",202,78.46,76202
"Touro U., New York",203,78.36,74625
Old Dominion U.,204,78.25,73230
"U. Massachusetts, Boston",205,78.14,73200
Naval Postgraduate School,206,78.04,72539
U. Toledo,207,77.93,71684
East Carolina U.,208,77.82,71552
"CUNY, City C.",209,77.71,70736
Worcester Polytechnic Institute,210,77.61,70084
Stevens Institute of Technology,211,77.5,69534
U. South Alabama,212,77.39,68746
Missouri U. Science and Technology,213,77.29,68674
Morehouse School of Medicine,214,77.18,67430
Florida A&M U.,215,77.07,66270
Ohio U.,216,76.96,63984
U. Wisconsin-Milwaukee,217,76.86,62553
Rowan U.,218,76.75,62406
Southern Methodist U.,219,76.64,62063
Lehigh U.,220,76.54,61460
Western Michigan U. and Homer Stryker M.D. School of Medicine,221,76.43,61454
"Southern Illinois U., Carbondale",222,76.32,61453
"Loyola U., Chicago",223,76.21,61437
"U. Puerto Rico, Medical Sciences Campus",224,76.11,60629
Kent State U.,225,76.0,59482
Nova Southeastern U.,226,75.89,57749
"State U. New York, Upstate Medical U.",227,75.79,57705
Boise State U.,228,75.68,57030
"Catholic U. America, The",229,75.57,55630
"U. Missouri, Kansas City",230,75.46,55506
U. Denver,231,75.36,54204
Morgan State U.,232,75.25,54036
Air Force Institute of Technology,233,75.14,53158
U. Maryland Center for Environmental Science,234,75.04,52986
U.S. Air Force Academy,235,74.93,52175
Texas Tech U. Health Sciences Center,236,74.82,51677
Texas A&M U.-Corpus Christi,237,74.71,51575
Portland State U.,238,74.61,49099
Kennesaw State U.,239,74.5,48308
Marquette U.,240,74.39,46504
Chapman U.,241,74.29,46093
Mercer U.,242,74.18,45223
Georgia Southern U.,243,74.07,43798
"CUNY, Hunter C.",244,73.96,43724
Montclair State U.,245,73.86,43503
Delaware State U.,246,73.75,42526
U. West Florida,247,73.64,42352
East Tennessee State U.,248,73.54,42000
"U. Massachusetts, Dartmouth",249,73.43,39178
San Francisco State U.,250,73.32,38661
Marshall U.,251,73.21,38508
State U. New York C. Environmental Science and Forestry,252,73.11,38133
Oakland U.,253,73.0,37990
"California Polytechnic State U., San Luis Obispo",254,72.89,37322
Illinois Institute of Technology,255,72.79,36399
"SUNY, Downstate Health Sciences U.",256,72.68,35134
Tennessee Technological U.,257,72.57,35017
"U. Nebraska, Omaha",258,72.46,35014
Tennessee State U.,259,72.36,34467
Embry-Riddle Aeronautical U.,260,72.25,34238
Northern Illinois U.,261,72.14,34096
Illinois State U.,262,72.04,33952
"Teachers C., Columbia U.",263,71.93,33897
"California State U., Sacramento",264,71.82,33709
"California State U., Long Beach",265,71.71,33659
"California State U., Fullerton",266,71.61,33090
"U. Puerto Rico, Rio Piedras",267,71.5,32802
Villanova U.,268,71.39,32250
U. Tulsa,269,71.29,31887
Desert Research Institute,270,71.18,31845
"Louisiana State U., Health Sciences Center, Shreveport",271,71.07,31751
"CUNY, Queens C.",272,70.96,31632
Texas A&M U.-Kingsville,273,70.86,31247
Prairie View A&M U.,274,70.75,29901
Louisiana Tech U.,275,70.64,29720
"U. Minnesota, Duluth",276,70.54,29334
Tuskegee U.,277,70.43,28637
Creighton U.,278,70.32,28566
"CUNY, Graduate School of Public Health and Health Policy",279,70.21,28249
Miami U.,280,70.11,27908
Fordham U.,281,70.0,27891
"U. South Dakota, The",282,69.89,27659
Eastern Virginia Medical School,283,69.79,27429
Texas Christian U.,284,69.68,27009
Central Michigan U.,285,69.57,26607
"California State U., Northridge",286,69.46,26455
"California State Polytechnic U., Humblodt",287,69.36,26240
"U. Puerto Rico, Mayaguez",288,69.25,26222
"U. Texas Health Science Center, The, Tyler",289,69.14,26150
"Rutgers, The State U. New Jersey, Newark",290,69.04,25306
Clarkson U.,291,68.93,24875
U. Guam,292,68.82,24744
Tarleton State U.,293,68.71,24649
Jackson State U.,294,68.61,24568
"U. Alaska, Anchorage",295,68.5,24313
"U. Akron, The",296,68.39,23941
U. Colorado Denver,297,68.29,23902
South Dakota School of Mines & Technology,298,68.18,23898
"New School, The",299,68.07,23841
